Date,TSLA US Equity Price,TSLA US Equity Implied Vol
11/20/20,489.61,71.5176
11/19/20,499.27,76.3255
11/18/20,486.64,71.007
11/17/20,441.61,64.8351
11/16/20,408.09,56.0848
11/13/20,408.5,56.3657
11/12/20,411.76,55.7475
11/11/20,417.13,54.3273
11/10/20,410.36,57.6988
11/09/20,421.26,55.6511
11/06/20,429.95,54.4111
11/05/20,438.09,57.84
11/04/20,420.98,58.4828
11/03/20,423.9,64.4531
11/02/20,400.51,66.0354
10/30/20,388.04,64.3116
10/29/20,410.83,60.1182
10/28/20,406.02,61.7061
10/27/20,424.68,58.8217
10/26/20,420.28,61.8584
10/23/20,420.63,58.8243
10/22/20,425.79,62.8521
10/21/20,422.64,74.7087
10/20/20,421.94,76.6255
10/19/20,430.83,76.9418
10/16/20,439.67,77.9748
10/15/20,448.88,80.2859
10/14/20,461.3,80.5528
10/13/20,446.65,77.7707
10/12/20,442.3,76.3122
10/09/20,434,77.3346
10/08/20,425.92,82.1358
10/07/20,425.3,81.9843
10/06/20,413.98,85.8442
10/05/20,425.68,85.428
10/02/20,415.09,90.8744
10/01/20,448.16,91.2349
09/30/20,429.01,88.7193
09/29/20,419.07,91.6095
09/28/20,421.2,92.7676
09/25/20,407.34,92.9637
09/24/20,387.79,98.6822
09/23/20,380.36,100.9491
09/22/20,424.23,115.3972
09/21/20,449.39,123.8096
09/18/20,442.15,126.7067
09/17/20,423.43,123.3867
09/16/20,441.76,120.8273
09/15/20,449.76,119.5904
09/14/20,419.62,107.4698
09/11/20,372.72,102.7684
09/10/20,371.34,104.9893
09/09/20,366.28,110.8984
09/08/20,330.21,129.8386
09/04/20,418.32,127.0794
09/03/20,407,126.9828
09/02/20,447.37,127.6684
09/01/20,475.05,125.5085
08/31/20,498.32,111.2782
08/28/20,442.68,98.0435
08/27/20,447.75,92.6522
08/26/20,430.634,83.7773
08/25/20,404.668,83.2044
08/24/20,402.84,84.3839
08/21/20,409.996,79.0459
08/20/20,400.366,73.4215
08/19/20,375.706,70.0162
08/18/20,377.418,71.9344
08/17/20,367.128,73.835
08/14/20,330.142,69.6762
08/13/20,324.2,71.2257
08/12/20,310.952,72.1721
08/11/20,274.878,65.3095
08/10/20,283.714,65.6018
08/07/20,290.542,64.1564
08/06/20,297.916,63.4012
08/05/20,297.004,65.5299
08/04/20,297.4,67.3504
08/03/20,297,69.7772
07/31/20,286.152,70.8793
07/30/20,297.498,68.3678
07/29/20,299.822,68.1275
07/28/20,295.298,75.2246
07/27/20,307.92,75.7693
07/24/20,283.4,75.5555
07/23/20,302.614,76.6258
07/22/20,318.466,103.8591
07/21/20,313.672,103.6999
07/20/20,328.6,109.8491
07/17/20,300.168,105.5256
07/16/20,300.128,117.7731
07/15/20,309.202,126.4483
07/14/20,303.36,124.9843
07/13/20,299.412,124.3812
07/10/20,308.93,105.7568
07/09/20,278.856,94.2288
07/08/20,273.176,92.1178
07/07/20,277.972,94.1745
07/06/20,274.316,92.1233
07/02/20,241.732,75.0454
07/01/20,223.926,77.9402
06/30/20,215.962,78.1765
06/29/20,201.87,78.8474
06/26/20,191.948,70.7846
06/25/20,197.196,69.0385
06/24/20,192.17,69.5078
06/23/20,200.356,66.1185
06/22/20,198.864,66.0562
06/19/20,200.18,64.8163
06/18/20,200.792,68.0129
06/17/20,198.358,68.2181
06/16/20,196.426,70.9194
06/15/20,198.18,72.0285
06/12/20,187.056,71.5664
06/11/20,194.568,72.3092
06/10/20,205.01,70.1611
06/09/20,188.134,64.3307
06/08/20,189.984,66.8583
06/05/20,177.132,58.3732
06/04/20,172.876,58.3314
06/03/20,176.592,59.4823
06/02/20,176.312,61.2894
06/01/20,179.62,64.4327
05/29/20,167,57.3786
05/28/20,161.162,57.3767
05/27/20,164.046,60.5682
05/26/20,163.774,60.3528
05/22/20,163.376,59.5257
05/21/20,165.52,64.2857
05/20/20,163.112,63.1362
05/19/20,161.602,64.413
05/18/20,162.726,66.1467
05/15/20,159.834,66.2799
05/14/20,160.666,70.1797
05/13/20,158.192,72.5375
05/12/20,161.882,71.5867
05/11/20,162.258,71.0028
05/08/20,163.884,68.8497
05/07/20,156.008,70.277
05/06/20,156.516,72.3617
05/05/20,153.642,74.1002
05/04/20,152.238,78.159
05/01/20,140.264,82.9214
04/30/20,156.376,74.4203
04/29/20,160.102,82.3745
04/28/20,153.824,82.3248
04/27/20,159.75,92.6748
04/24/20,145.03,91.7263
04/23/20,141.126,97.7909
04/22/20,146.422,99.7266
04/21/20,137.344,102.4041
04/20/20,149.272,101.6508
04/17/20,150.778,101.917
04/16/20,149.042,107.3526
04/15/20,145.966,109.2196
04/14/20,141.978,103.0307
04/13/20,130.19,97.3388
04/09/20,114.6,88.2672
04/08/20,109.768,90.1586
04/07/20,109.09,89.9508
04/06/20,103.248,93.8761
04/03/20,96.002,101.31
04/02/20,90.894,103.2391
04/01/20,96.312,106.7202
03/31/20,104.8,100.257
03/30/20,100.426,105.509
03/27/20,102.872,110.5062
03/26/20,105.632,116.2086
03/25/20,107.85,122.3089
03/24/20,101,114.8949
03/23/20,86.858,122.9487
03/20/20,85.506,133.0685
03/19/20,85.528,146.0517
03/18/20,72.244,157.2772
03/17/20,86.04,145.5939
03/16/20,89.014,143.3669
03/13/20,109.324,114.7479
03/12/20,112.11,107.2941
03/11/20,126.846,93.4468
03/10/20,129.066,93.4664
03/09/20,121.6,101.8434
03/06/20,140.696,92.6226
03/05/20,144.908,89.6417
03/04/20,149.9,86.2929
03/03/20,149.102,92.0657
03/02/20,148.724,85.0712
02/28/20,133.598,96.5826
02/27/20,135.8,83.1018
02/26/20,155.76,69.4402
02/25/20,159.982,71.4376
02/24/20,166.758,75.786
02/21/20,180.2,80.3411
02/20/20,179.882,76.9915
02/19/20,183.484,76.5861
02/18/20,171.68,71.5502
02/14/20,160.006,63.6157
02/13/20,160.8,73.58
02/12/20,153.458,67.4067
02/11/20,154.876,76.7383
02/10/20,154.256,89.1199
02/07/20,149.614,89.8677
02/06/20,149.792,95.6532
02/05/20,146.94,96.4394
02/04/20,177.412,118.0592
02/03/20,156,76.5576
01/31/20,130.114,53.3833
01/30/20,128.162,53.5764
01/29/20,116.198,68.0776
01/28/20,113.38,68.0685
01/27/20,111.604,70.707
01/24/20,112.964,68.132
01/23/20,114.44,68.0347
01/22/20,113.912,75.4743
01/21/20,109.44,68.1612
01/17/20,102.1,63.9644
01/16/20,102.698,67.4961
01/15/20,103.7,69.701
01/14/20,107.584,70.9293
01/13/20,104.972,65.6882
01/10/20,95.63,62.6141
01/09/20,96.268,65.5886
01/08/20,98.428,65.1887
01/07/20,93.812,58.3824
01/06/20,90.308,55.4994
01/03/20,88.602,53.2125
01/02/20,86.052,54.1177
12/31/19,83.666,52.1392
12/30/19,82.94,51.9932
12/27/19,86.076,48.9636
12/26/19,86.188,47.8021
12/24/19,85.05,43.4557
12/23/19,83.844,43.6717
12/20/19,81.118,43.2294
12/19/19,80.808,41.9338
12/18/19,78.63,39.1408
12/17/19,75.798,38.6886
12/16/19,76.3,38.7363
12/13/19,71.678,36.7713
12/12/19,71.936,38.6059
12/11/19,70.54,38.2166
12/10/19,69.768,38.9061
12/09/19,67.906,39.3713
12/06/19,67.178,36.7489
12/05/19,66.074,37.1466
12/04/19,66.606,38.3866
12/03/19,67.24,39.1761
12/02/19,66.974,38.1328
11/29/19,65.988,35.3539
11/27/19,66.258,33.3196
11/26/19,65.784,33.655
11/25/19,67.268,36.5255
11/22/19,66.608,37.5307
